28160 25569 23445 21288 19111 16929 14756 12605 10490,0 1108 9348 1728 16376 24116 21782 27314 9698,25,-29753 -1517 1312 1568,1
28160 25569 23445 21288 19111 16929 14756 12605 10490,0 1108 9348 1728 16376 24116 21782 27314 9698,25,-29753 -1517 1312 1568,1
18098 9494 4684 1843 208 -770 -1247 -1592 -1778,13440 13104 27279 22801 9324 30451 2458 8322 15804,8,-17190 739 1138 1079,1
19337 10876 5785 2613 659 -563 -1311 -1767 -2041,31360 5884 23086 28175 29040 9162 17936 280 22208,8,-18430 821 1114 1101,0
32131 15328 6604 2025 -281 -1494 -2120 -2516 -2739,15616 12240 10304 3207 27749 27458 23787 26861 21374,9,-15632 935 1028 932,0
32020 15222 6507 1980 -331 -1523 -2135 -2516 -2767,7936 13374 4318 28659 6466 22693 12105 32680 13348,9,-15578 965 1000 980,0
27253 7747 1518 -326 -948 -1279 -1321 -1389 -1432,30976 15103 405 19587 21455 24112 17526 10116 19277,9,-9315 895 729 849,0
31879 15115 6463 1948 -370 -1563 -2160 -2511 -2720,1792 26820 29710 7765 15514 28330 3455 2656 25339,9,-15537 933 1027 1008,0
28993 10897 3418 371 -951 -1498 -1768 -1879 -1863,19200 17581 8315 11727 31242 5664 20801 26967 890,9,-12316 892 858 987,0
27151 7688 1510 -362 -975 -1335 -1353 -1447 -1482,27904 15396 8219 15719 25553 26726 30676 5239 22145,9,-9279 875 782 862,0
31633 14695 6165 1845 -334 -1546 -2105 -2341 -2629,18176 29148 27572 601 663 11034 4972 26662 31755,9,-15223 874 930 945,0
26105 12266 5460 2016 -25 -1119 -1794 -2089 -2284,14336 12923 21136 25936 18528 23475 10980 736 17691,12,-15397 488 652 1148,0
23571 11302 4708 1517 -131 -1043 -1976 -2221 -2166,10240 18404 22697 23889 19678 18791 1258 24612 22940,12,-15712 1283 698 923,0
23573 11310 4709 1516 -132 -1044 -1978 -2222 -2168,26624 18087 6238 28273 12212 7741 27443 26351 19812,12,-15722 1296 696 924,0
23570 11307 4706 1513 -135 -1047 -1980 -2224 -2170,30720 22297 10761 29260 13952 30359 14276 6556 24313,12,-15720 1297 697 925,0
